ID,Tweet,Label
63,@USER If Kerry clown is actually doing it and admits he is and it's a crime. Throw his ass in jail. He should be arrested...RIGHT ???,Yes
64,@USER @USER @USER @USER Given the sheer scale of the numbers I suspect from time to time someone had to look in a pit and say â€œI recon thatâ€™s 450 in that holeâ€..the point is BIG BAZ they are fucking big numbers clocked up by the far right/lef,No
65,@USER Oh shit,No
66,"It's the weekend! Oh wait, I have work and school shit to do #icantdeal #fuckit",No
67,@USER OH I fucking LOVE LATEX HMU IFU GOT Q'S IVE BEEN USING IT FOR YEARS,No
68,@USER Donâ€™t talk shit about 48 laws,Yes
69,@USER Iâ€™m a sick fuck I like to quick fuck,No
70,<USER> same payment situation here. Like exactly the same numbers. Creepy. It sucks serous ass.,No
71,@USER @USER @USER @USER @USER He had 1 offer since june! The shitty browns that's it!! Stop thinking he is still good you are living in the past,Yes
72,<USER> Don't do it! Snap that is. You could stop giving a fuck like yesterday and still be alright. Fuck people stay calm.,Yes
73,@USER Gonna be a bitch to re-write this one.,Yes
74,@USER ðŸ–¤ Dyrus you are a fucking worthless braindead scumfuck bastard pile of trash mental dickface that should be gunned down in the street like the degenerate you areðŸ–¤,Yes
75,@USER @USER Mbappe is bang average...would shit bricks in PL...glad for him he is in a league which is absolute joke,No
76,<USER> ok. I kinda hate disney tbh. I'm a Pixar fan myself I thought Shrek and toy story where THE SHIT as a kid.,No
77,@USER She is so damn cute! Def with the facial expressions,No
78,The fuck did I just read? <URL> <URL>,No
79,@USER Of course they shouldnt cause its obviously complete bs. They just want it delayed and when its time for the vote again theyll come up w/ another plant accuser. And why does every supposed victim of apparent â€œrapeâ€ liberals come up with always l,Yes
80,What the hell are these leftys talking about. They will say anything to stop Maga. URL,Yes
81,@USER this gave me fucking heart palpitations i'm shaking as i type this,No
82,Foto: FUCK D &amp; G <URL>,Yes
83,@USER YES I am so tired of relying on mfs to answer the phone for some shit thatâ€™s not even worth it! Iâ€™m about to be the new plug ðŸ˜‚ðŸ˜‚ðŸ˜‚,No
84,Its Kinda Fucked Up How You Treated Me Like You Did I Gave You Everything I Had And You Never Gave Me Shit.,No
85,@USER @USER She is better than all this shit She is better than anything. â¤ï¸,No
86,(2020 election season) Trump: my dick is the most magnificent dick Just tremendous. Leftists: prove it you Russian puppet! Trump: *whips dick out in fit of senility* Conservatives: *vote Trump to victory*,Yes
87,@USER bitch,Yes
88,I've been trying so hard to keep my shit together lately.,No
89,@USER @USER I hate @USER so much now. They fucked up the whole franchise.,Yes
90,"@USER The important distinction here being Ex-attorney general"" ..so frankly Yasir..nobody gives a rats pyjamas what you think..now piss off and find another trough to wallow in..liberals are finished in Ontario.""",No
91,@USER @USER I want to see this corrupt bitch in Gitmo for her birthday URL,Yes
92,<USER> '20-10 Tennessee' & 'Fight Like Hell' on the setlist Saturday plz,No
93,@USER Irish Bad bitch,Yes
94,@USER What the fuck game are you watching?,No
95,@USER Just because his best stats season was at 34 doesnâ€™t mean heâ€™s the greatest pl midfielder ðŸ¤£ fuck off,No
96,FUCK DAT OTHER NOISE. ITS ALL ABOUT DA EAGLES NIGGA,No
97,@USER He doesnâ€™t know if he should slam Manifort or suck up to him. He doesnâ€™t know if he should worry about Junior and Kushner or not. He is mad as hell but knows that he canâ€™t just fire Mueller so he is busy puking in the bathroom now that,No
98,@USER What kind of classes are you taking? You have ass homework? Is this an anatomy class?,No
99,@USER WHAT THE fuck,No
100,#ExpectUs to work our asses off for #GunSenseCandidates! @USER #GOTV #ThrowThemOut URL,No
101,I just might have a bitch fit i'm so sick of bullshit. And no i don't wanna talk about it or i will blow the Fuck up!,No
102,@USER @USER Mbappe is bang average...would shit bricks in PL...glad for him he is in a league which is absolute joke,No
103,Professor: The Purdue Owl Website will assist you greatly in your writing! Purdue Owl Website: *is shit*,Yes
104,@USER Master of None was so fucking good.,No
105,@USER sheâ€™s my bitch,Yes
106,@USER @USER @USER Rivera is shit He is the last one left. Our problems run through him. The day we fire @USER the better off we will be,Yes
107,@USER @USER That nigga snitched and added spice on top of his snitching,Yes
108,@USER The judge and some other guy need to come out and say they are lovers and have been since high school. That would really fuck with liberals. ðŸ˜Ž,No
109,"@USER @USER @USER Listened"". They don't give a shit about what the fans think. All they're doing is counting their Fox money.""",No
110,@USER Someone's is asking if Davido wasn't supposed to be in Camp? Oga madam park well!! Davido's business is non of your business. Na u send am go school? Haterz... chop shit n die,Yes
111,@USER sis Mandys no nose havin ass from the grim adventures of billy and Mandy can smell that shit wheeew URL,No
112,@USER @USER Who in the hell does she think she is? Acussed doesnâ€™t mean guilty! A women accused a man. That man #JudgeKavanaugh has a voice and has a right to clear his name! â€œSheâ€ needs to #ZipItðŸ¤,Yes
113,@USER And the fact he called you a nigger after you respectfully told him your preference damn near proves that theory ðŸ¤¦ðŸ½â€â™€ï¸,No
114,@USER Lmao fuck u bae,Yes
115,bitch I might be,No
116,"<USER> however, I already call bullshit on my relatives and explain it just fine. That doesn't qualify as any and everyone.",No
117,4 dead in mass shooting at Fifth Third Bank building in downtown Cincinnati'. Deep State Fake News Crisis Actor Alert!! Gun Control bullshit .. F'off Feinstein/Obama! URL via @,No
118,@USER I know a whole lotta people spitting a whole lot of bullshit right now idk if youll ever see this but I pray you feel no way responsible for what happened today. You have already been through so damn much. Just know that you are good you are,Yes
119,<USER> <USER> Yes! What the hell was that even about!? Love love so many others:),No
120,@USER bitch my life was flashing before my eyes,No
121,@USER @USER Good shit my bad though,No
122,"You can't buy happiness but you can by cupcakes, that's practically the same thing!! #lol #yummy #happiness #fatass",No
123,@USER @USER SHE IS A fucking MESS!! I HATE HER SO MUCH,Yes
124,Live from Hell #debates <URL>,No
125,@USER @USER Says the bitch ass boy hiding behind a keyboard it donâ€™t hurt to ask for help sometimes canâ€™t do everything alone you fucking clown if he can help then something is better than nothing thatâ€™s why I asked even if he canâ€™t it donâ€™t hur,Yes
126,@USER fuck russ 110%,Yes
127,@USER Let me borrow yo shit first ðŸ¤£,No
128,@USER slap the shit outta her,Yes
129,@USER @USER @USER @USER @USER Me thinks you're full of shit,Yes
130,I Never Gave A Damn Or A Fukk Remember Dat,No
131,@USER He had to fuck up. You can only give a guy so many chances no matter how talented he is,No
132,@USER you ignorant fool how did you become ag. I forgot it was ignorant Obama. Its not current occupier of white house. Learn from me ignorant idiot He is the President of United states. If you think he is not your President then leave this country and go,Yes
133,@USER Iâ€™m finna say fuck it and get a crispy ass jogging suitðŸ˜‚ðŸ˜‚,No
134,@USER @USER I saw that but i dont think thats a tattoo. It looks like that fuckin fashion fabric string or some shit Idk. Might not me but that ass looks exactly like hers ha,No
135,@USER What are you doing Joe? I swear it seems like he is doing this shit intentionally to show us fans up or put us in the hospital for heart attacks. #EverybodyIn @USER,No
136,@USER oh my fucking gods.,No
137,<USER> tru dey thinking all fucked up,No
138,@USER Everyone saying fuck Russ dont know a damn thing about him or watched the interview ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸,No
139,"<USER> best one since Empire, but the emotional resonance is just not there. They tried though, holy shit did they try.",No
140,<USER> ....what nigga,No
141,Again if the economy is booming why is gas so MOF high 2nd question this is for the #MAGA cult how will making cars go half as far on gas doubling your cost to fill your tank make fucking sense to you? #TuesdayThoughts URL,No
142,<USER> Just talked to TWC again and got more bullshit from <USER> They just don't CARE about losing customers.,Yes
143,"@USER its so cool that the blind idiot god"" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred""",No
144,Why does this shit always happen in esports? :c <URL>,No
145,AndðŸ¤·ðŸ½â€â™‚ï¸ females b on the same shit URL,No
146,<USER> there's a reason NJ is below NY ..to shit on them,No
147,@USER @USER There should be a serious FBI investigation into this womanâ€™s motives behind this political hit job. This kind of shit is NEVER done to anyone other than conservatives. Such bullshit,Yes
148,@USER Please watch the story of Welles Crowther. He is a hero. You are simply an asshole Be ashamed,Yes
149,<USER> #1DayForExpelledMoviePremiere hell yes! This is gonna be an epic movie [?],No
150,@USER @USER Thatâ€™s so sad and terrifying; I know itâ€™s been dropped to a 2 but all the reports Iâ€™ve seen says that doesnâ€™t mean shit for this storm. All you have to do is look at pictures of that thing to realize itâ€™s a fucking BEAST,No
151,@USER @USER Thats silly when the 90s cartoons made him popular as fuck,No
152,@USER @USER @USER It was a disagreement between a fucking umpire and a player! It was not abusive!,Yes
153,@USER The only thing i didnâ€™t agree with was the match point he was following the rules i think this was more about her sex honestly all she did was call him a thief and he penalized her shit was wack,No
154,It's about being an honest real person and having empathy to not fuck with someone you claimed to love for years while fucking your new gf ud83dude02,No
155,"@USER 0.05 - Narrator: It was at THIS moment Antifa knew... xhe/zhe had fucked up...""""",No
156,@USER Am I an ass or is it kinda weird Char wore a shirt to wrestle the lesbian Iâ€™m joking....but not really,No
157,@USER i love you u beautiful bitch rAWR,No
158,@USER @USER @USER ARE YOU fucking SERIOUS? I AM ITALIAN! TALK TO MY FATHER WHO WAS BORN IN SICILY OF YOUR RIDICULOUS NOTIONS. YOU'RE AN IDIOT! Why do you think the left as Antifa? STANDS FOR ANTI-FASCISM! DICTATORS ARE RIGHT WING!,Yes
159,@USER that's fucking gross.,No
160,Why do I always end up sick when I have so much shit to get done?,No
161,@USER @USER Lol ðŸ¤£ðŸ¤£ðŸ¤£ every gf and ein track. Whole ass album pahh,No
162,@USER Shocking almost all liberals are crazy and insane since that Clinton witch lost theyâ€™ve become #unhinged #deranged and a bunch of damn #crybabies stop acting like children and grow up,Yes
163,@USER @USER Ciara has stopped me from doing so much dumb ass shit god bless that woman,No
164,I haver done shit all day #pointless,No
165,@USER @USER @USER shit up,No
166,@USER fuck you are killing me lately ðŸ˜‚,No
167,@USER I think it's more of a choice for ppl to stay hooked on shit,No
168,I've realized the people I'm the closest with and love to pieces have gone through the same tough shit I have and it breaks my heart,No
169,@USER I LOVE YO CUTE ass,No
170,<USER> xox for indulging me yesterday. Next time I'll know how to handle my shit better. Thanks for all you do for your fans. peacexo,No
171,@USER dick Durbin figures if he lies often enough people will start to believe him. Right out of leftist dictatorship playbook. @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,No
172,<USER> cuzz I do use this gay shit... #calling u a bitch n person,Yes
173,@USER @USER @USER He's on Capital fucking Hill. It's not like they don't know where he's at. They want to intimidate his family so he will back out. The media is Antifa in drag.,No
174,"fuck the rain, memorial day bbq at my moms house, come thru if you're bored #hitmeup #byob",No
175,<USER> chat shit get banged,No
176,"@USER GIVE ME A fucking MIC""""",No
177,8pm feels like 115. Wake me when this shit is over,No
178,@USER its all about you ... trying to sell your stuff don't worry that everything is going to shit politically you must be Liberals,No
179,@USER Never had. Let's fuck it up.,Yes
180,@USER @USER One of the very first states in the US to legislatively legalize gay marriage. Extremely progressive gun control. Minimum wage increase. Free college. I know these things donâ€™t count for dipshits like you. But they are major and they,No
181,@USER I fucking loved that cat I am so sad,No
182,I Cannot Fucking Believe I Have to Defend Tammy Lahren Now - <URL> via <USER> Tami's got fired for pro-choice....,No
183,<USER> hashtag faggot,Yes
184,@USER @USER @USER No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention,No
185,@USER @USER These are sick ass people URL,Yes
186,fucked up tatoost: <URL> via <USER>,No
187,@USER @USER Sheâ€™s trolling to fuck with you cause some of yâ€™all be quick to call mfs coons for minor disagreements,No
188,@USER @USER @USER @USER Hes comin for ur woolly bitches,Yes
189,@USER Myyy nigga âœŠðŸ¾,No
190,@USER ðŸ‘ŒðŸ» Iâ€™ve never seen anyone talk like that on Twitter before and Iâ€™ve seen some really messed up shit,No
191,@USER fuck yeah !!!! Go you !!!,No
192,@USER Did you see what she said about Travis on Ellen?? Thatâ€™s one hating ass bitch ðŸ˜­,Yes
193,<USER> damn I'm out,No
194,@USER Does not suffer fools and has seen enough shit to last nine lives.,No
195,@USER @USER When your bio is the most relevant piece of shit everðŸ¤”ðŸ‘€,Yes
196,@USER â€œItâ€™s only sexual assault when the other does not agree with what he is feeling.â€ He said before picking up the pace his foot turning and pushing against his cock while his big toe and other toe lift up the glands. â€œMmâ€,No
197,@USER hey Samsung on your website you declined me. 2 times for credit I can afford your phone without your ass this is my second one maybe next time even though I hate iPhone I'll buy iPhone so screw you,Yes
198,@USER If he doesnt want to face the responsibility for his actions then he is in the wrong job. That is without taking into account him being a bit shit #AVFC #BRUCEOUT,Yes
199,@USER Omg he is!!!!! I fucking hate Dale!!!!!!,Yes
200,"@USER Democrats cut funding. CIA goes around it. That's how it's done. Conservatives"" who play by the rules will get fucked up, every time. URL",No
201,@USER Dishonored zone where you have to balance on dangerously high edges in a shitty ghetto overrun with rats and bloodflies,Yes
202,@USER @USER @USER @USER DaveB the most boring man to have ever graced SIMB. Thank fuck he was run off the BORED,No
203,@USER nah it's coz you're a cunt blocked,Yes
204,@USER @USER @USER @USER And you say liberals make false promises? Howâ€™s that wall coming? Howâ€™s that denuclearization of NK coming? How that â€œtax breakâ€ working out for you? Nice ole tariffs we got there huh? But yea keep on saying wild outlandish,Yes
205,@USER Probably say fuck it an do just that,No
206,10 Free Server & Network Monitoring Tools that Kick Ass: <URL>,No
207,@USER Bird ass URL,Yes
208,@USER @USER @USER bullshit Regulations are good because it keeps conservatives from striping our land into the Abyss,No
209,<USER> <USER> <USER> Goofy's whore house #disneyPornNames,Yes
210,"@USER YUP. Liberals (by which I mean fans of Liberal Democracy"") are all too happy to let everyone else around them die as long as they maintain a comfortable existence. It's a fucking disgrace. We need to get the ball rolling on serious Socialist",No
211,@USER You know we will bitch stop talking like that we gotta paper to get nigga ðŸ˜ŽðŸ¤ŸðŸ½,No
212,@USER sis Mandys no nose havin ass from the grim adventures of billy and Mandy can smell that shit wheeew URL,No
213,@USER @USER guys im literally italian and i know what that shit is wtf,Yes
214,Doug Shows. How the hell is he not reffing high school games???? #NCAA,No
215,@USER fuck ðŸ˜© I didnâ€™t realize it until I got on and finally played it again,No
216,@USER @USER @USER Nope. Teaching them not to give a shit what liberals from CA think.,Yes
217,@USER @USER shit come on unc!,No
218,@USER @USER No one gives a shit and no one will miss her! Sorry @USER will! URL,Yes
219,@USER I'll lock yo sorry ass down ðŸ¤—,No
220,when you get a bitch lyin <URL>,Yes
221,if i have to tolerate ur loud ass maga merch dont say shit about my nike anything kiss my ass,Yes
222,@USER Fat ass heart attack city..... keep eating fat ass,Yes
223,I haven't tweeted all week long! There definitely must be a place reserved for me now in Twitter Hell!,No
224,@USER More fear tactics to make people attack her. Itâ€™s bullshit,Yes
225,@USER I don't entertain shit,No
226,@USER @USER Mxm nigger thinks we give a fuck URL,Yes
227,@USER @USER @USER Hah! The fucking Chats!?! â€˜Onya Boys!,No
228,@USER Dude. What the fuck is WRONG WITH YOU? I sent you a direct tweet to show you how you re-tweet your OWN shit Then I let it go. Now you want to double down? Just go back to Whoviille,Yes
229,<USER> I dont like girls becuz girls like dicks and thats gay,Yes
230,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ðŸ˜TeleSmokaCatin' damn that looked better in my headðŸ˜ðŸ˜‰ðŸ¤£ðŸ˜Ž,No
231,@USER She is fucking delusional,Yes
232,@USER Start by not tweeting pussy ass shit,Yes
233,@USER He is truly dumb as shit,Yes
234,damn havnt been on twitter in forever.. almost forgot about this shit.. been too busy on facebook an otha shit,No
235,@USER nah my foodie ass will gladly say it. that works on absolutely no one's fucking palate.,No
236,@USER I donâ€™t trust Kanye right now. I might not like that shit,Yes
237,<USER> <USER> Return them to hell? Just kidding. Serve them to your enemies.,No
238,@USER @USER @USER I fuck with this hard,No
239,@USER I saw some shit today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words. URL,No
240,<USER> wtf... Where the hell is our Defense? Get off the field!,Yes
241,@USER @USER ikr? Riding trainer? Have fun running to Lower Rear BackWoodsistan fucker,Yes
242,"Great article. I was just reading about the Dunning-Kruger effect, too. 'Nobody Knows What The Hell They Are Doing' <URL>",No
243,@USER @USER At least you got to experience the 90s though. These 90s and 2000s born missed out on a great decade. It's been an increasingly worse shit show since lol,No
244,@USER @USER @USER Except when it comes to tyrone Woodley. Lol you ate your words eh dan. 45 mins about how great till was and why Woodley wasn't that great. What happened bud? Some fucking expert. 74-1. Stfu dan hardy.,No
245,@USER That shit got me dead!! Eager ass boi!,Yes
246,<USER> Apparently your 'snowflakes' arent aware that a 'white Christmas' means there will be snow. What the hell are... <URL>,No
247,@USER Good- that soundtrack you DMed me with was fire as fuck and I still listen to it oftenðŸ’ªðŸ½ Bad- My tracks are betterðŸ˜­ (joking Iâ€™m shit),No
248,@USER But 10kg of an already shite allowance (coz EU workers are lame as fuck is a proper piss take,No
249,"@USER endorses felons"" ah yes and who are felons most likely to be???? this shit reminds of when bernie said Chicago was ""different"" to Vermont in regards to what gun control was needed.""",No
250,@USER Monte... who fuckin knows at this point,No
251,@USER Everyone saying fuck Russ dont know a damn thing about him or watched the interview ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸ðŸ¤·â€â™‚ï¸,No
252,@USER *as fuck Not ass fuck Although conservatives are fucking us all up the ass right now.,No
253,@USER @USER I had to click on it just to see what the hell you were talking about. I still don't know. Is your war on conservatives like the war on christmas?,No
254,@USER @USER @USER @USER Okay that's enough with the A and C shit They dont care and neither should we.,No
255,@USER ur a fucking dumbass fr. thereâ€™s no way she is anyone elseâ€™s ðŸ˜‚,No
256,#ThursdayThoughts- fuck liberals. Forever.,Yes
257,@USER @USER I saw that but i dont think thats a tattoo. It looks like that fuckin fashion fabric string or some shit Idk. Might not me but that ass looks exactly like hers ha,No
258,@USER @USER Issss nigga fall asleep on soft after this,No
259,@USER @USER It's probably better to have an âŒâŒ next to my name than a pink pussy hat on my head ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤” #MAGA #MakeAmericaGreatAgain,No
260,@USER you're on fucking drugs my dude,Yes
261,@USER The reason you donâ€™t have a wife is because you are an ass,Yes
262,@USER Umm fuck yeah I would,No
263,@USER Is this nigga really back to dying his hair 2445times in one comeback ðŸ˜‚ðŸ˜‚ðŸ˜‚,No
264,@USER @USER Queen Of Rap ðŸ˜› Other bitches can knot relate,Yes
265,How much of a dick am I if I see someone coming and I push the door close button on the elevator because I don't want to ride with them? Lol,No
266,"Go to hell, insomnia.",No
267,<USER> Dre and Cube were NWA. Predator was probably Cube best album. Death Certificate is the shit too,No
268,@USER @USER @USER I suggest that you get worser jobs as you are just what they donâ€™t want. you might of even been in the same office. You might of been arguing with yourself. your just both gay,Yes
269,Lol! I really need that 'Beat Unbothered Bitch' shirt asap <USER>,No
270,I feel like I missed out on a fantastic opportunity by not telling Jodie Foster X-Ray Technician that I could smell her cunt...,Yes
271,@USER @USER @USER @USER @USER @USER @USER Or a piss up in a brewery !! Hat,No
272,@USER @USER @USER i really wish they could find someone better than Cuccinelli to represent Conservatives... he is the epitome of a douche bag used car salesman with a law degree.,Yes
273,<USER> <USER> that toilet paper is so cheap its like john wayne it takes shit from no one!,No
274,"@USER Also she's thick as shit despite her posh brainy voice"" on QT when the ""refugee"" crisis was at it's peak,she said they should come in because there may be surgeons &amp; dentists amongst them.Fecking leftie lunatic.#ScruffBag""",Yes
275,@USER @USER Not now hell no he offered that last year no go now.,No
276,@USER @USER @USER @USER @USER @USER I have. He is desperate to see what I'm saying and report me. Shame as he usually says nothing. Another antifa pussy no doubt,Yes
277,@USER @USER Typical... When it backfires it's nothing to see here move along... Trump supporters these days are doing the same thing... All this shit Trump is getting called out on. It's nothing to see here move along . Lol,No
278,@USER @USER @USER ARE YOU fucking SERIOUS? I AM ITALIAN! TALK TO MY FATHER WHO WAS BORN IN SICILY OF YOUR RIDICULOUS NOTIONS. YOU'RE AN IDIOT! Why do you think the left as Antifa? STANDS FOR ANTI-FASCISM! DICTATORS ARE RIGHT WING!,Yes
279,Even IF the #SexualMisconduct IS by gay 45 yr old #GOP #Men - they'd call it youthful indescretion &amp; get a #Mulligan from #Hypocritical #Evangelicals &amp; MAGA *sshats. URL,No
280,"seriously, if you post over 15 statues/ tweets in the past day of fandom shit, you're getting blocked",No
281,@USER Zarries didnâ€™t start this conversation! It was a larry shipper that trash talked our ship!! So how about yâ€™all petty ass larries stay out of our mention eh?!!,No
282,"@USER @USER @USER Still shoveling shit for Trump?....What kind of woman supports a liar, racist, pussy grabber?....that's what kind of woman you are.""",Yes
283,@USER As someone who had never played Spiderman 2 as a kid: I want and tried it a year or 2 back and idk what kinda collective nostalgia people are on but those web swinging mechanics are busted as fuck and kinda trash.,No
284,"@USER 1st Pic: OH MY GOD THE BATMAN V SUPERMAN TRAILER IS AWESOME"" 2nd Pic: ""OH MY GOD BVS IS AWESOME 3rd Pic: ""oh, you dont like BvS and call it a shit movie?? well bitch 4th Pic: ""oh, Zack was fired, Henry left and Ben is leaving""""",Yes
285,@USER The cunt whoâ€™s 1st EU is doing it URL,Yes
286,<USER> ass ass ass ass ASS ass ass ass ass ass ass ass ASS ass ass ass. #ass,No
287,@USER @USER how the fuck is puting raven with derrick and dan and dr. will saying she's a mastermind when she didn't do shit put bitch about being sick and being annoying and boring. take raven out and put tyler in. he is playing a great game even,Yes
288,<USER> <USER> I would change asshole to genius..there's no one in the world who would troll the life outta their cheating ex,Yes
289,@USER im fucking sad also this gif is art,No
290,@USER Lol okay cuz this shit gotta be discreet ðŸ˜‚,No
291,@USER fuck a drug test,No
292,@USER This is like fuckin cool .. .. hold your horses .... freckles... ohhhjhhh god,No
293,@USER Looks like he is in the middle of shitting his pants. Must have ate one booger too many.,No
294,<USER> I FUCKING LOVE YOU. SHOW ME HOW YOU WANT IT TO BE. #hitmebabyonemoretime,No
